4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level

0.15, 18.4046 , 10 , 0.0287 , 0.06 ,28.4933
0.153323, 18.3161 , 10 , 0.0294 , 0.05 ,28.3955
0.156647, 17.741 , 10 , 0.0301 , 0.05 ,27.8211
0.15997, 17.3985 , 10 , 0.0307 , 0.05 ,27.4792
0.163293, 17.2975 , 10 , 0.0314 , 0.05 ,27.3789
0.166617, 17.745 , 10 , 0.0321 , 0.05 ,27.8271
0.16994, 17.7201 , 10 , 0.0328 , 0.05 ,27.8029
0.173263, 18.9907 , 10 , 0.0334 , 0.05 ,29.0741
0.176587, 18.4145 , 10 , 0.0341 , 0.0418 ,28.4904
0.17991, 18.1737 , 10 , 0.0348 , 0.05 ,28.2585
0.183233, 17.5128 , 10 , 0.0355 , 0.04 ,27.5883
0.186556, 18.566 , 10 , 0.0362 , 0.04 ,28.6422
0.18988, 18.4739 , 10 , 0.0368 , 0.04 ,28.5507
0.193203, 17.7387 , 10 , 0.0375 , 0.04 ,27.8162
0.196526, 17.5554 , 10 , 0.0382 , 0.04 ,27.6336
0.19985, 18.3996 , 10 , 0.0388 , 0.04 ,28.4784
0.203173, 17.8869 , 10 , 0.0395 , 0.04 ,27.9664
0.206496, 18.6453 , 10 , 0.0402 , 0.04 ,28.7255
0.20982, 18.7624 , 10 , 0.0409 , 0.04 ,28.8433
0.213143, 17.8648 , 10 , 0.0415 , 0.04 ,27.9463
0.216466, 18.8982 , 10 , 0.0422 , 0.0313 ,28.9717
0.21979, 17.6839 , 10 , 0.0429 , 0.03 ,27.7568
0.223113, 17.4989 , 10 , 0.0436 , 0.03 ,27.5725
0.226436, 17.5114 , 10 , 0.0443 , 0.03 ,27.5857
0.22976, 16.8706 , 10 , 0.0449 , 0.03 ,26.9455
0.233083, 18.0017 , 10 , 0.0456 , 0.03 ,28.0773
0.236406, 18.3191 , 10 , 0.0463 , 0.03 ,28.3954
0.239729, 18.3958 , 10 , 0.0469 , 0.03 ,28.4727
0.243053, 17.8231 , 10 , 0.0476 , 0.03 ,27.9007
0.246376, 17.6177 , 10 , 0.0483 , 0.03 ,27.696
0.249699, 17.912 , 10 , 0.049 , 0.03 ,27.991
0.253023, 18.5731 , 10 , 0.0497 , 0.03 ,28.6528
0.256346, 18.5762 , 10 , 0.0503 , 0.03 ,28.6565
0.259669, 18.0725 , 10 , 0.051 , 0.03 ,28.1535
0.262993, 19.5778 , 10 , 0.0517 , 0.03 ,29.6595
0.266316, 19.7153 , 10 , 0.0524 , 0.03 ,29.7977
0.269639, 17.8742 , 10 , 0.053 , 0.03 ,27.9572
0.272963, 16.4836 , 10 , 0.0537 , 0.03 ,26.5673
0.276286, 16.4801 , 10 , 0.0544 , 0.03 ,26.5645
0.279609, 18.7369 , 10 , 0.0551 , 0.03 ,28.822
0.282933, 19.1697 , 10 , 0.0557 , 0.03 ,29.2554
0.286256, 17.2661 , 10 , 0.0564 , 0.03 ,27.3525
0.289579, 17.3409 , 10 , 0.0571 , 0.03 ,27.428
0.292902, 17.3726 , 10 , 0.0578 , 0.0257 ,27.4561
0.296226, 17.1756 , 10 , 0.0584 , 0.0264 ,27.2604
0.299549, 16.7051 , 10 , 0.0591 , 0.03 ,26.7942
0.302872, 17.2565 , 10 , 0.0598 , 0.0206 ,27.3369
