Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,FCC Part 15 Class A - Quasi-Peak Limit,FCC Part 15 Class A - Average Limit,FCC Part 15 Class A - Quasi-Peak Margin,FCC Part 15 Class A - Average Margin,Comments
3.118,27.0,10.0,.1,.0,=SUM(B2:E2),73.0,60.0,=G2-F2,=H2-F2,
3.291,26.6,10.0,.1,.0,=SUM(B3:E3),73.0,60.0,=G3-F3,=H3-F3,
3.404,26.3,10.0,.1,.0,=SUM(B4:E4),73.0,60.0,=G4-F4,=H4-F4,
3.626,27.1,10.0,.1,.0,=SUM(B5:E5),73.0,60.0,=G5-F5,=H5-F5,
3.683,27.5,10.0,.1,.0,=SUM(B6:E6),73.0,60.0,=G6-F6,=H6-F6,
3.836,27.2,10.0,.1,.0,=SUM(B7:E7),73.0,60.0,=G7-F7,=H7-F7,
3.875,25.6,10.0,.1,.0,=SUM(B8:E8),73.0,60.0,=G8-F8,=H8-F8,
3.905,26.8,10.0,.1,.0,=SUM(B9:E9),73.0,60.0,=G9-F9,=H9-F9,
3.939,25.6,10.0,.1,.0,=SUM(B10:E10),73.0,60.0,=G10-F10,=H10-F10,
4.268,23.0,10.0,.1,.0,=SUM(B11:E11),73.0,60.0,=G11-F11,=H11-F11,
4.603,24.0,10.0,.1,.0,=SUM(B12:E12),73.0,60.0,=G12-F12,=H12-F12,
4.653,25.9,10.0,.1,.0,=SUM(B13:E13),73.0,60.0,=G13-F13,=H13-F13,
4.676,27.2,10.0,.1,.0,=SUM(B14:E14),73.0,60.0,=G14-F14,=H14-F14,
4.723,26.2,10.0,.1,.0,=SUM(B15:E15),73.0,60.0,=G15-F15,=H15-F15,
4.759,25.5,10.0,.1,.0,=SUM(B16:E16),73.0,60.0,=G16-F16,=H16-F16,
4.806,26.7,10.0,.1,.0,=SUM(B17:E17),73.0,60.0,=G17-F17,=H17-F17,
5.165,23.0,10.0,.1,.0,=SUM(B18:E18),73.0,60.0,=G18-F18,=H18-F18,
