Frequency,Detector,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Angle, Height, Comments
23.1340,SCAN  ,45.6,10.0,.1,.2,=SUM(C2:F2),73.0,60.0,=H2-G2,=I2-G2,0,0,
26.6135,SCAN  ,44.3,10.0,.1,.2,=SUM(C3:F3),73.0,60.0,=H3-G3,=I3-G3,0,0,
26.4906,SCAN  ,43.7,10.0,.1,.2,=SUM(C4:F4),73.0,60.0,=H4-G4,=I4-G4,0,0,
27.1586,SCAN  ,43.2,10.0,.1,.2,=SUM(C5:F5),73.0,60.0,=H5-G5,=I5-G5,0,0,
26.5537,SCAN  ,42.8,10.0,.1,.2,=SUM(C6:F6),73.0,60.0,=H6-G6,=I6-G6,0,0,
23.0709,SCAN  ,41.9,10.0,.1,.2,=SUM(C7:F7),73.0,60.0,=H7-G7,=I7-G7,0,0,
28.6840,SCAN  ,41.8,10.0,.1,.2,=SUM(C8:F8),73.0,60.0,=H8-G8,=I8-G8,0,0,
24.0014,SCAN  ,41.8,10.0,.1,.2,=SUM(C9:F9),73.0,60.0,=H9-G9,=I9-G9,0,0,
21.6685,SCAN  ,41.5,10.0,.1,.2,=SUM(C10:F10),73.0,60.0,=H10-G10,=I10-G10,0,0,
25.8791,SCAN  ,41.4,10.0,.1,.2,=SUM(C11:F11),73.0,60.0,=H11-G11,=I11-G11,0,0,
24.3537,SCAN  ,41.4,10.0,.1,.2,=SUM(C12:F12),73.0,60.0,=H12-G12,=I12-G12,0,0,
22.4594,SCAN  ,41.3,10.0,.1,.2,=SUM(C13:F13),73.0,60.0,=H13-G13,=I13-G13,0,0,
22.5824,SCAN  ,41.0,10.0,.1,.2,=SUM(C14:F14),73.0,60.0,=H14-G14,=I14-G14,0,0,
25.6963,SCAN  ,40.8,10.0,.1,.2,=SUM(C15:F15),73.0,60.0,=H15-G15,=I15-G15,0,0,
27.3413,SCAN  ,40.8,10.0,.1,.2,=SUM(C16:F16),73.0,60.0,=H16-G16,=I16-G16,0,0,
20.2560,SCAN  ,40.7,10.0,.1,.1,=SUM(C17:F17),73.0,60.0,=H17-G17,=I17-G17,0,0,
22.8881,SCAN  ,40.6,10.0,.1,.2,=SUM(C18:F18),73.0,60.0,=H18-G18,=I18-G18,0,0,
26.0021,SCAN  ,40.2,10.0,.1,.2,=SUM(C19:F19),73.0,60.0,=H19-G19,=I19-G19,0,0,
24.5365,SCAN  ,40.1,10.0,.1,.2,=SUM(C20:F20),73.0,60.0,=H20-G20,=I20-G20,0,0,
21.9077,SCAN  ,40.0,10.0,.1,.2,=SUM(C21:F21),73.0,60.0,=H21-G21,=I21-G21,0,0,
29.2323,SCAN  ,39.7,10.0,.1,.2,=SUM(C22:F22),73.0,60.0,=H22-G22,=I22-G22,0,0,
24.0446,SCAN  ,39.7,10.0,.1,.2,=SUM(C23:F23),73.0,60.0,=H23-G23,=I23-G23,0,0,
28.5610,SCAN  ,39.6,10.0,.1,.2,=SUM(C24:F24),73.0,60.0,=H24-G24,=I24-G24,0,0,
24.9054,SCAN  ,39.4,10.0,.1,.2,=SUM(C25:F25),73.0,60.0,=H25-G25,=I25-G25,0,0,
24.9652,SCAN  ,39.0,10.0,.1,.2,=SUM(C26:F26),73.0,60.0,=H26-G26,=I26-G26,0,0,
22.2135,SCAN  ,38.8,10.0,.1,.2,=SUM(C27:F27),73.0,60.0,=H27-G27,=I27-G27,0,0,
23.4331,SCAN  ,38.7,10.0,.1,.2,=SUM(C28:F28),73.0,60.0,=H28-G28,=I28-G28,0,0,
19.7143,SCAN  ,38.5,10.0,.1,.1,=SUM(C29:F29),73.0,60.0,=H29-G29,=I29-G29,0,0,
23.7389,SCAN  ,38.5,10.0,.1,.2,=SUM(C30:F30),73.0,60.0,=H30-G30,=I30-G30,0,0,
28.3251,SCAN  ,38.2,10.0,.1,.2,=SUM(C31:F31),73.0,60.0,=H31-G31,=I31-G31,0,0,
23.8618,SCAN  ,38.2,10.0,.1,.2,=SUM(C32:F32),73.0,60.0,=H32-G32,=I32-G32,0,0,
