4:12:13 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\02_PLCE_230Vac50Hz_L2
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\Cispr 11\CISPR11_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
CISPR 11 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
CISPR 11 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L2
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level

,-10.0787 , 10 , 0.0287 , 0.05 ,
,-10.0794 , 10 , 0.0294 , 0.05 ,
,-10.0801 , 10 , 0.0301 , 0.05 ,
,-10.0707 , 10 , 0.0307 , 0.04 ,
,-10.0714 , 10 , 0.0314 , 0.04 ,
,-10.0721 , 10 , 0.0321 , 0.04 ,
,-10.0728 , 10 , 0.0328 , 0.04 ,
,-10.0734 , 10 , 0.0334 , 0.04 ,
,-10.0741 , 10 , 0.0341 , 0.04 ,
,-10.0748 , 10 , 0.0348 , 0.04 ,
,-10.0755 , 10 , 0.0355 , 0.04 ,
,-10.0762 , 10 , 0.0362 , 0.04 ,
,-10.0668 , 10 , 0.0368 , 0.03 ,
,-10.0775 , 10 , 0.0375 , 0.04 ,
,-10.0695 , 10 , 0.0382 , 0.0313 ,
,-10.0688 , 10 , 0.0388 , 0.03 ,
,-10.0695 , 10 , 0.0395 , 0.03 ,
,-10.0702 , 10 , 0.0402 , 0.03 ,
,-10.0709 , 10 , 0.0409 , 0.03 ,
,-10.0715 , 10 , 0.0415 , 0.03 ,
,-10.0722 , 10 , 0.0422 , 0.03 ,
,-10.0729 , 10 , 0.0429 , 0.03 ,
,-10.0736 , 10 , 0.0436 , 0.03 ,
,-10.0743 , 10 , 0.0443 , 0.03 ,
,-10.0749 , 10 , 0.0449 , 0.03 ,
,-10.0756 , 10 , 0.0456 , 0.03 ,
,-10.0763 , 10 , 0.0463 , 0.03 ,
,-10.0753 , 10 , 0.0469 , 0.0284 ,
,-10.0712 , 10 , 0.0476 , 0.0236 ,
,-10.0783 , 10 , 0.0483 , 0.03 ,
,-10.079 , 10 , 0.049 , 0.03 ,
,-10.0797 , 10 , 0.0497 , 0.03 ,
,-10.0703 , 10 , 0.0503 , 0.02 ,
,-10.071 , 10 , 0.051 , 0.02 ,
,-10.0777 , 10 , 0.0517 , 0.026 ,
,-10.0743 , 10 , 0.0524 , 0.0219 ,
,-10.073 , 10 , 0.053 , 0.02 ,
,-10.0737 , 10 , 0.0537 , 0.02 ,
,-10.0744 , 10 , 0.0544 , 0.02 ,
,-10.0751 , 10 , 0.0551 , 0.02 ,
,-10.0757 , 10 , 0.0557 , 0.02 ,
,-10.0764 , 10 , 0.0564 , 0.02 ,
,-10.0771 , 10 , 0.0571 , 0.02 ,
,-10.0778 , 10 , 0.0578 , 0.02 ,
,-10.0784 , 10 , 0.0584 , 0.02 ,
,-10.0791 , 10 , 0.0591 , 0.02 ,
,-10.0798 , 10 , 0.0598 , 0.02 ,
,-10.0805 , 10 , 0.0605 , 0.02 ,
,-10.0811 , 10 , 0.0611 , 0.02 ,
,-10.0818 , 10 , 0.0618 , 0.02 ,
,-10.0825 , 10 , 0.0625 , 0.02 ,
,-10.0832 , 10 , 0.0632 , 0.02 ,
,-10.0838 , 10 , 0.0638 , 0.02 ,
,-10.0845 , 10 , 0.0645 , 0.02 ,
,-10.0852 , 10 , 0.0652 , 0.02 ,
,-10.0859 , 10 , 0.0659 , 0.02 ,
,-10.0865 , 10 , 0.0665 , 0.02 ,
,-10.0872 , 10 , 0.0672 , 0.02 ,
,-10.0879 , 10 , 0.0679 , 0.02 ,
,-10.0886 , 10 , 0.0686 , 0.02 ,
,-10.0892 , 10 , 0.0692 , 0.02 ,
,-10.0899 , 10 , 0.0699 , 0.02 ,
,-10.0906 , 10 , 0.0706 , 0.02 ,
,-10.0913 , 10 , 0.0713 , 0.02 ,
,-10.092 , 10 , 0.072 , 0.02 ,
,-10.0926 , 10 , 0.0726 , 0.02 ,
,-10.0933 , 10 , 0.0733 , 0.02 ,
,-10.094 , 10 , 0.074 , 0.02 ,
,-10.0946 , 10 , 0.0746 , 0.02 ,
,-10.0953 , 10 , 0.0753 , 0.02 ,
,-10.096 , 10 , 0.076 , 0.02 ,
,-10.0967 , 10 , 0.0767 , 0.02 ,
,-10.0974 , 10 , 0.0774 , 0.02 ,
,-10.098 , 10 , 0.078 , 0.02 ,
,-10.0987 , 10 , 0.0787 , 0.02 ,
,-10.0994 , 10 , 0.0794 , 0.02 ,
,-10.1001 , 10 , 0.0801 , 0.02 ,
,-10.1007 , 10 , 0.0807 , 0.02 ,
,-10.1014 , 10 , 0.0814 , 0.02 ,
,-10.1021 , 10 , 0.0821 , 0.02 ,
,-10.1027 , 10 , 0.0827 , 0.02 ,
,-10.1034 , 10 , 0.0834 , 0.02 ,
,-10.1041 , 10 , 0.0841 , 0.02 ,
,-10.0964 , 10 , 0.0848 , 0.0116 ,
,-10.1026 , 10 , 0.0855 , 0.0171 ,
,-10.1003 , 10 , 0.0861 , 0.0142 ,
,-10.1014 , 10 , 0.0868 , 0.0146 ,
,-10.1075 , 10 , 0.0875 , 0.02 ,
,-10.1082 , 10 , 0.0882 , 0.02 ,
,-10.1088 , 10 , 0.0888 , 0.02 ,
,-10.1069 , 10 , 0.0895 , 0.0174 ,
,-10.1013 , 10 , 0.0902 , 0.0111 ,
,-10.1009 , 10 , 0.0909 , 0.01 ,
,-10.1029 , 10 , 0.0915 , 0.0114 ,
,-10.1099 , 10 , 0.0922 , 0.0177 ,
,-10.1129 , 10 , 0.0929 , 0.02 ,
,-10.1134 , 10 , 0.0936 , 0.0198 ,
,-10.1076 , 10 , 0.0942 , 0.0134 ,
,-10.1078 , 10 , 0.0949 , 0.0129 ,
,-10.1148 , 10 , 0.0956 , 0.0192 ,
,-10.1163 , 10 , 0.0963 , 0.02 ,
,-10.1152 , 10 , 0.0969 , 0.0183 ,
,-10.1097 , 10 , 0.0976 , 0.0121 ,
,-10.1083 , 10 , 0.0983 , 0.01 ,
,-10.1094 , 10 , 0.099 , 0.0104 ,
,-10.1164 , 10 , 0.0997 , 0.0167 ,
,-10.117 , 10 , 0.1 , 0.017 ,
,-10.1108 , 10 , 0.1 , 0.0108 ,
,-10.1155 , 10 , 0.1 , 0.0155 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1195 , 10 , 0.1 , 0.0195 ,
,-10.1132 , 10 , 0.1 , 0.0132 ,
,-10.113 , 10 , 0.1 , 0.013 ,
,-10.1193 , 10 , 0.1 , 0.0193 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1155 , 10 , 0.1 , 0.0155 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.1133 , 10 , 0.1 , 0.0133 ,
,-10.1195 , 10 , 0.1 , 0.0195 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1192 , 10 , 0.1 , 0.0192 ,
,-10.1129 , 10 , 0.1 , 0.0129 ,
,-10.1133 , 10 , 0.1 , 0.0133 ,
,-10.1196 , 10 , 0.1 , 0.0196 ,
,-10.1142 , 10 , 0.1 , 0.0142 ,
,-10.1121 , 10 , 0.1 , 0.0121 ,
,-10.1184 , 10 , 0.1 , 0.0184 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1164 , 10 , 0.1 , 0.0164 ,
,-10.1102 , 10 , 0.1 , 0.0102 ,
,-10.1151 , 10 , 0.1 , 0.0151 ,
,-10.1197 , 10 , 0.1 , 0.0197 ,
,-10.1151 , 10 , 0.1 , 0.0151 ,
,-10.1106 , 10 , 0.1 , 0.0106 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.1129 , 10 , 0.1 , 0.0129 ,
,-10.1175 , 10 , 0.1 , 0.0175 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1155 , 10 , 0.1 , 0.0155 ,
,-10.111 , 10 , 0.1 , 0.011 ,
,-10.1135 , 10 , 0.1 , 0.0135 ,
,-10.118 , 10 , 0.1 , 0.018 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1184 , 10 , 0.1 , 0.0184 ,
,-10.114 , 10 , 0.1 , 0.014 ,
,-10.1105 , 10 , 0.1 , 0.0105 ,
,-10.1151 , 10 , 0.1 , 0.0151 ,
,-10.1196 , 10 , 0.1 , 0.0196 ,
,-10.1159 , 10 , 0.1 , 0.0159 ,
,-10.1114 , 10 , 0.1 , 0.0114 ,
,-10.1131 , 10 , 0.1 , 0.0131 ,
,-10.1176 , 10 , 0.1 , 0.0176 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1198 , 10 , 0.1 , 0.0198 ,
,-10.1153 , 10 , 0.1 , 0.0153 ,
,-10.1108 , 10 , 0.1 , 0.0108 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.1127 , 10 , 0.1 , 0.0127 ,
,-10.1172 , 10 , 0.1 , 0.0172 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1157 , 10 , 0.1 , 0.0157 ,
,-10.1112 , 10 , 0.1 , 0.0112 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.1123 , 10 , 0.1 , 0.0123 ,
,-10.1168 , 10 , 0.1 , 0.0168 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1171 , 10 , 0.1 , 0.0171 ,
,-10.1126 , 10 , 0.1 , 0.0126 ,
,-10.1119 , 10 , 0.1 , 0.0119 ,
,-10.1164 , 10 , 0.1 , 0.0164 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1165 , 10 , 0.1 , 0.0165 ,
,-10.112 , 10 , 0.1 , 0.012 ,
,-10.1125 , 10 , 0.1 , 0.0125 ,
,-10.117 , 10 , 0.1 , 0.017 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1176 , 10 , 0.1 , 0.0176 ,
,-10.1143 , 10 , 0.1 , 0.0143 ,
,-10.1111 , 10 , 0.1 , 0.0111 ,
,-10.1122 , 10 , 0.1 , 0.0122 ,
,-10.1154 , 10 , 0.1 , 0.0154 ,
,-10.1187 , 10 , 0.1 , 0.0187 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.12 , 10 , 0.1 , 0.02 ,
,-10.1185 , 10 , 0.1 , 0.0185 ,
,-10.1152 , 10 , 0.1 , 0.0152 ,
,-10.112 , 10 , 0.1 , 0.012 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
,-10.11 , 10 , 0.1 , 0.01 ,
